Indicator,Type
availability.justdied.com,hostname
singed.otzo.com,hostname
travelyokogawafz.fartit.com,hostname
vmmini.com,domain
skilllm0dr.com,domain
thehuguardian.com,domain
gavin.ccfchrist.com,hostname
142.4.121.141,IPv4
apt1009.com,domain
nfx3mapt1.com,domain
xn--eckzb7dfh7iln3cwfd4121l9oyapt1f.xyz,domain
https://lab52.io/blog/the-energy-reserves-in-the-eastern-mediterranean-sea-and-a-malicious-campaign-of-apt10-against-turkey/,URL
https://adeo.com.tr/wp-content/uploads/2020/02/APT10_Report.pdf,URL
apt121.net,domain
apt12b.com,domain
http://links.nigelfrank.com/wf/open?upn=lFHzcgB5STRy730PsCCb1rwU1ORgQy2-2FBByexmFjlRP4cBT1ZAbobYYz6422iJu6o5NBDl914XLF4hEguK6oPFaAULVRDoA4zuXfgzusFIAeqKMNhb4e6Q0J5PgFcjH85h0H-2F39NArwi1kfIlHl1bxxApaoT-2B8eKGfhyP7FimGJ5u-2FdRJxdrbR8p8fkRBmIp2Pf5uTn7pCwMumofsI34qcZ4Ff96J92P8UsugDV81KKEZUBQlQhF4OoXXrZFkG01NGm-2FwinhZ4ZYBFdE-2FoS3SIvmiT5HXmrz2nRD1q4KlhJhkhaPt1vgj4zIMZplsI9v5PeVw8A9lcrbqYCyb4QcGpOjvjxcY2EtnQj4pjeMWpArV1-2FWqGpjpLtA6DltQUvyWxjt9zMw5Ja4hgXPAlvmPw-3D-3D,URL
plazaapt1213.com,domain
3755terstenaplapt172.com,domain
apt10.com,domain
20050snowdropctapt11.com,domain
apt12-j.com,domain
70yosemiteaveapt108.com,domain
adapt1ve.com,domain
230rsdapt18c.com,domain
apt139.com,domain
capt10.com,domain
davjearleysachapt14.com,domain
dnsapp.info,domain
apt11consulting.com,domain
http://propertylogin.alndata.com/apartments/home.aspx?login=APT141826,URL
415madisonstapt1.com,domain
apt13books.com,domain
225e79apt15de.com,domain
apt14.com,domain
apt18.com,domain
wwwcatapt1.com,domain
2608kennedyblvdapt1.com,domain
271384a078f2a2f58e14d7703febae8a28c6e2d7ddb00a3c8d3eead4ea87a0c0,FileHash-SHA256
aacaf0d4729dd6fda2e452be763d209f92d107ecf24d8a341947c545de9b7311,FileHash-SHA256
appcapt1info.com,domain
apt1337.com,domain
192waterstreetapt1e.com,domain
apt10b.com,domain
dafapt1.com,domain
hapt168.com,domain
adapt10x.com,domain
apt11pro.club,domain
bde6103cdf93be831f608cfd3b99fc69be1d1c1a95746c51e2e3139b87753b2b,FileHash-SHA256
3e7c212b17868a2e45686d34b4c5d22dcafc0a60a38e8b709026fda4d0870f33,FileHash-SHA256
7a536632d13f5c91aa5b9d402bbb29945a955e6dc059cc7a977d3e15edb932fc,FileHash-SHA256
d84f16cc9c416112f26d8fb7a2d85e5b81237a3c63dc6a90ec261463a6ac77f4,FileHash-SHA256
a27477d4936e4018b886ed6c8ce0bcd01c8d4c841780e5efbcba053e7bdd365d,FileHash-SHA256
2612e3284ad512d052f7e60ba9236cbea2a7577b6d145289da802f43779f4ae1,FileHash-SHA256
33de07cf8404216a216b9325386ed19816042442cb2ae697b870d2c914b63d97,FileHash-SHA256
55f5e2429ad0b1d5cd36dff188e11f7361971f14a4908f52a421660ce455768c,FileHash-SHA256
0e7ebc36861df66cf5e4870264a48fdf346829b6fcbc0360826fcda698cea6ca,FileHash-SHA256
7e6e012e237164ee7691b5ed00e69c211ade98e09b282443e2a80e20f5551ddc,FileHash-SHA256
fa4e746a7c0ccfdb19961dc719a7a47390f3b89ddb92e77dd1e166d9cf6ceb95,FileHash-SHA256
0b50a25bae3c946818e4e3befdabafb70a7188838261a5b24753628b45c01395,FileHash-SHA256
c13c03a12c854722a3a2c45d692fb3a0d776e565b0687a0e3038a2f5d09048da,FileHash-SHA256
39b257aee2a30583504f74bf9b2b563ad64b2d298a25e5fd3d653421de22e653,FileHash-SHA256
190f3ff5e116db475fc429488daa0136c15ff77da322b5273b162dcf046520c8,FileHash-SHA256
7d65f0f87c3ad79e3ca729a53fcf64e89ad1fec11bb0924ff87174c3be1edfc5,FileHash-SHA256
e71614f3ebd2b9577c9787ca337a473c41aa8ff087329a3ce40f590b57c9e68c,FileHash-SHA256
762941ee7c900292969576bb68e42d00f167d4bc10a334d76fc8d962e270255c,FileHash-SHA256
260a2bfce31fa132bef5aea0ad6c4e9d240700f861e79fc7e1a8c6f367ea7e58,FileHash-SHA256
92600888e59b09a69bd03926f7d3dc1d6e33b3dbd2ce714ac6297cc8fa1f9292,FileHash-SHA256
88be4fe705a0604634bea797ddc6781fac6fa30b58b52af75b57903a39391417,FileHash-SHA256
c6fb5a4cf81e5590a0e9d918f9ce052a69d941530c09fa584d0cc9a153dcef41,FileHash-SHA256
0912e1be6fc0d361445808ce99980bfadf435c7845103728183d2850ca7eb934,FileHash-SHA256
5df8a615ba96e3cd07e7f2ca659edfd8d2471cac09eaa1c59ccdc593940c1755,FileHash-SHA256
13a723a241a27ee3b15ab3d3f6a7e1b63c61caeef42e4a60175f25b37dd9a327,FileHash-SHA256
32fddaf869135708c4bdf3a0113881b6d102a87cae92c926e13578057901e611,FileHash-SHA256
3c74fcd0aa66c8ebf6c01ab28b3bc52824b78a830213b222ce2eefd45aa08f4d,FileHash-SHA256
c54d7fc9e0d774a865a01ff9510e1a123b61dc2218fffb79fbe0ee646a831274,FileHash-SHA256
webinfoseco.ygto.com,hostname
9394bce861603b41405fcf65a4285633de3644f7a9ffbfe816c348a356c093e4,FileHash-SHA256
4283928e64d1929a2ca4cf2903e27ec69416b9b9bed15024bfe2d618aa47833f,FileHash-SHA256
a8016b44d6867f3e9644c325b1a310c0b07cbae83aeecf01bfd42460e6f79b42,FileHash-SHA256
3be1dea9567108949071d7d7426cc6c1e0f96f4fd61a5b6c5b64df36e86a3661,FileHash-SHA256
17210a64653d9514630f33db9db7237755d0e36f6112c48fd3d213b826adb2e1,FileHash-SHA256
916e7163630c3267e462916205982075845b37bdf6717bfd1c0d64013335d0aa,FileHash-SHA256
34a56cd0f0a37d246aa6a42135b4e0281bc40cffea6b51281c38327945110cfa,FileHash-SHA256
a7dcbe12079d5e0c1ef110d93391d63d3be274770e6ac92bdfbedfa5500b2729,FileHash-SHA256
bf93067c18c39b27aa44d1026e783dfe3f2734e1d7b5d61e63d6cf196a04910a,FileHash-SHA256
163d903330a68257eda9e0a615f11eb2b279209066cfd71e731c449c2d62eff1,FileHash-SHA256
971af600289f482719c789d12e1ed95e20acd2e3239fed8d6a831385c3215e9d,FileHash-SHA256
